Sample Name,% Duplication,% > Q30,Mb Q30 bases,M Reads After Filtering,GC content,% PF,% Adapter,Reads length,Reads length After filtering,Depth
BGI_T20_WGS_2021_2_Nfastp,1.10%,93.70%,261095.4,2790.2,41.30%,99.90%,0.20%,100 ,99.80 ,89.60743464
BGI_T20_WGS_2021_2_Tfastp,1.10%,93.90%,362381.8,3860.8,41.40%,99.90%,0.20%,100 ,99.80 ,123.9898157
BGI_T20_WGS_2021_3_Nfastp,0.80%,94.20%,312331.1,3319.4,41.20%,99.90%,0.20%,100 ,99.80 ,106.6027233
BGI_T20_WGS_2021_3_Tfastp,0.60%,93.70%,254251.1,2715.6,41.30%,99.90%,0.20%,100 ,99.80 ,87.21165132
BGI_T20_WGS_2023_1_Nfastp,0.70%,94.00%,350889.2,3736.3,40.60%,99.90%,0.20%,100 ,99.80 ,119.991491
BGI_T20_WGS_2023_1_Tfastp,0.80%,94.00%,326807,3480.1,40.70%,99.90%,0.20%,100 ,99.80 ,111.7636131
BGI_T20_WGS_2023_2_Nfastp,0.90%,93.70%,336028.3,3587.7,40.60%,99.90%,0.20%,100 ,99.80 ,115.2191933
BGI_T20_WGS_2023_2_Tfastp,1.10%,94.00%,380071.4,4046.7,40.50%,99.90%,0.20%,100 ,99.80 ,129.9600049
BGI_T20_WGS_2023_3_Nfastp,0.90%,94.10%,333568.9,3548.4,40.60%,99.90%,0.20%,100 ,99.80 ,113.9570716
BGI_T20_WGS_2023_3_Tfastp,1.00%,93.70%,430668.5,4599.8,40.50%,99.90%,0.20%,100 ,99.80 ,147.7228435
BGI_T7_WGS_2023_1_Nfastp,0.10%,93.50%,286635.6,2045.4,40.20%,100.00%,0.30%,150 ,149.55 ,98.43347957
BGI_T7_WGS_2023_1_Tfastp,0.10%,94.40%,352626.9,2491.5,40.40%,100.00%,0.30%,150 ,149.55 ,119.9017377
NVG_WGS_2023_1_Nfastp,15.40%,92.30%,163819.2,1191.8,41.70%,98.60%,4.50%,150 ,143.25 ,54.9384219
NVG_WGS_2023_1_Tfastp,24.00%,91.00%,162625.5,1197.2,41.90%,99.10%,2.80%,150 ,145.80 ,56.16973832
WGE_WGS_2023_1_Nfastp,0.10%,90.60%,185763.2,1368.6,40.70%,100.00%,0.20%,150 ,149.70 ,65.92900243
WGE_WGS_2023_1_Tfastp,0.10%,89.90%,187019.6,1388.1,40.70%,99.90%,0.20%,150 ,149.70 ,66.86836787
WGS_WUX_2021_1_Nfastp,6.80%,89.70%,178751.4,1330.6,40.80%,98.30%,0.40%,150 ,149.40 ,63.96999033
WGS_WUX_2021_1_Tfastp,5.90%,90.30%,160020.8,1183.8,41.00%,98.50%,0.50%,150 ,149.25 ,56.8552854
WGS_WUX_2021_2_Nfastp,6.40%,88.00%,171078.4,1298.4,40.50%,98.40%,0.40%,150 ,149.40 ,62.42194156
WGS_WUX_2021_2_Tfastp,5.00%,86.90%,181270,1393.3,41.00%,98.10%,0.50%,150 ,149.25 ,66.91710521
WGS_WUX_2021_3_Nfastp,6.20%,91.50%,180999.2,1321.4,40.80%,98.10%,0.40%,150 ,149.40 ,63.52769068
WGS_WUX_2021_3_Tfastp,4.60%,90.00%,170280.1,1263.8,41.10%,97.90%,0.50%,150 ,149.25 ,60.69750776
WGS_WUX_2023_1_Nfastp,4.80%,90.30%,159864.6,1182.2,40.60%,97.70%,0.50%,150 ,149.25 ,56.77844095
WGS_WUX_2023_1_Tfastp,5.00%,91.00%,161053.7,1181.8,40.70%,98.00%,0.50%,150 ,149.25 ,56.75922984
WGS_WUX_2023_2_Nfastp,7.90%,89.00%,186407.3,1398.5,40.70%,96.30%,0.40%,150 ,149.40 ,67.23435403
WGS_WUX_2023_2_Tfastp,5.60%,91.80%,163863.7,1192.2,40.80%,98.60%,0.50%,150 ,149.25 ,57.25871875
WGS_WUX_2023_3_Nfastp,6.20%,90.90%,196016.9,1440.2,40.60%,98.50%,0.50%,150 ,149.25 ,69.16960807
WGS_WUX_2023_3_Tfastp,4.30%,88.00%,176169,1337.2,40.60%,96.80%,0.60%,150 ,149.10 ,64.1582013
