type,total.truth,total.query,tp,fp,fn,recall,precision,source,F1 score,Reproducibility
indels,1709,1779,1537,242,172,0.8993563487419544,0.8639685216413716,MGI_WGS_HCC1395_03-2.somatic.SNV_HC,0.8813073394495414,0.881662435191663
SNVs,31512,32560,31333,1227,179,0.9943196242701192,0.9623157248157248,MGI_WGS_HCC1395_03-2.somatic.SNV_HC,0.9780559370707953,0.9783176745429221
records,33221,34339,32870,1469,351,0.989434393907468,0.9572206529019482,MGI_WGS_HCC1395_03-2.somatic.SNV_HC,0.9730609828300769,0.9733275234047082
indels,1709,1716,1511,205,198,0.8841427735517847,0.8805361305361306,NVG_WGS_HCC1395_03-1.somatic.SNV_HC,0.8823357664233578,0.8823394520439576
SNVs,31512,32307,31080,1227,432,0.9862909367859864,0.9620206147274584,NVG_WGS_HCC1395_03-1.somatic.SNV_HC,0.9740046067785456,0.9741557757567224
records,33221,34023,32591,1432,630,0.981036091628789,0.9579108250301268,NVG_WGS_HCC1395_03-1.somatic.SNV_HC,0.9693355541014812,0.9694734583294579
indels,1709,1707,1445,262,264,0.8455236980690463,0.846514352665495,ARD_WGS_2023_1.somatic.SNV_HC,0.8460187353629978,0.8460190253672706
SNVs,31512,31244,30447,797,1065,0.9662033511043412,0.97449110229164,ARD_WGS_2023_1.somatic.SNV_HC,0.97032953024412,0.9703472266979907
records,33221,32951,31892,1059,1329,0.9599951837693026,0.967861369912901,ARD_WGS_2023_1.somatic.SNV_HC,0.9639122287372303,0.9639282768411017
indels,1709,1668,1429,239,280,0.8361614979520188,0.8567146282973621,BGI_T10_WGS_2023_3_T.somatic.SNV_HC,0.8463132958246966,0.8464380631246904
SNVs,31512,32431,31369,1062,143,0.9954620462046204,0.9672535536986216,BGI_T10_WGS_2023_3_T.somatic.SNV_HC,0.9811550912531474,0.981357799951621
records,33221,34099,32798,1301,423,0.9872670900936156,0.9618463884571395,BGI_T10_WGS_2023_3_T.somatic.SNV_HC,0.9743909685086157,0.9745567392753776
indels,1709,1822,1486,336,223,0.8695143358689292,0.8155872667398463,WGE_WGS_2023_1_T.somatic.SNV_HC,0.8416879071084679,0.8425508013043878
SNVs,31512,32481,31372,1109,140,0.9955572480324956,0.9658569625319418,WGE_WGS_2023_1_T.somatic.SNV_HC,0.9804822402450267,0.9807071052822187
records,33221,34303,32858,1445,363,0.9890731766051594,0.9578754044835728,WGE_WGS_2023_1_T.somatic.SNV_HC,0.9732243350512411,0.9734742905443661
indels,1709,1629,1398,231,311,0.818022235225278,0.858195211786372,BGI_T10_WGS_2023_1_T.somatic.SNV_HC,0.8376273217495507,0.838108723505825
SNVs,31512,32337,31302,1035,210,0.9933358720487432,0.9679933203451156,BGI_T10_WGS_2023_1_T.somatic.SNV_HC,0.9805008692383592,0.9806645961969294
records,33221,33966,32700,1266,521,0.9843171487914272,0.9627274333156686,BGI_T10_WGS_2023_1_T.somatic.SNV_HC,0.973402592763481,0.9735222910535478
indels,1709,1708,1520,188,189,0.8894090111176126,0.8899297423887588,ANO_WGS_HCC1395_01-1.somatic.SNV_HC,0.8896693005560433,0.8896693767531857
SNVs,31512,32531,31330,1201,182,0.9942244224422442,0.9630813685407764,ANO_WGS_HCC1395_01-1.somatic.SNV_HC,0.9784051340505597,0.9786528954915104
records,33221,34239,32850,1389,371,0.9888323650702868,0.9594322264084816,ANO_WGS_HCC1395_01-1.somatic.SNV_HC,0.9739104654610139,0.9741322957393842
indels,1709,1715,1522,193,187,0.890579286132241,0.8874635568513121,NVG_WGS_HCC1395_01-1.somatic.SNV_HC,0.8890186915887851,0.8890214214917764
SNVs,31512,32421,31125,1296,387,0.9877189642041128,0.9600259091329694,NVG_WGS_HCC1395_01-1.somatic.SNV_HC,0.9736755666087936,0.9738724366685411
records,33221,34136,32647,1489,574,0.9827217723728968,0.956380360909304,NVG_WGS_HCC1395_01-1.somatic.SNV_HC,0.9693721513725374,0.9695510666411004
