Sample	rRNA counts	Yeast counts	No hits percentage	Mouse percentage	Mitoch counts	EColi percentage	Yeast percentage	EColi counts	Human percentage	Mitoch percentage	Vector percentage	Virus percentage	Adapter counts	ERCC percentage	Human counts	No hits counts	Vector counts	rRNA percentage	total_reads	ERCC counts	Phix counts	Adapter percentage	Mouse counts	Phix percentage	Virus counts
SL_WGS_HCC1395BL_02-2_1	82.0	134.0	1.32	7.84	266.0	0.0	0.13	0.0	98.6	0.27	0.11	0.29000000000000004	43.0	0.0	98596.0	1320	110.0	0.08	100000	1.0	0.0	0.04	7836.0	0.0	288.0
SL_WGS_HCC1395BL_04-1_1	87.0	179.0	0.79	9.120000000000001	285.0	0.0	0.18	0.0	99.11999999999999	0.28	0.09	0.37	3.0	0.0	99125.0	790	84.0	0.08	100000	2.0	0.0	0.0	9111.0	0.0	378.0
SL_WGS_HCC1395BL_04-2_1	91.0	142.0	1.26	7.8	279.0	0.0	0.14	0.0	98.66	0.28	0.12000000000000001	0.33	33.0	0.0	98656.0	1260	114.0	0.09	100000	1.0	0.0	0.03	7802.0	0.0	334.0
SL_WGS_HCC1395_01-1_1	52.0	182.0	0.68	8.97	149.0	0.0	0.18	0.0	99.32000000000001	0.15	0.11	0.3	7.0	0.0	99308.0	680	107.0	0.05	100000	0.0	0.0	0.01	8973.0	0.0	300.0
SL_WGS_HCC1395_01-2_1	31.0	112.0	1.28	7.76	157.0	0.0	0.11	0.0	98.71	0.16	0.08	0.2	28.0	0.0	98708.0	1280	82.0	0.03	100000	0.0	0.0	0.03	7764.0	0.0	203.0
SL_WGS_HCC1395_03-1_1	63.0	201.0	0.69	9.11	186.0	0.0	0.2	0.0	99.28999999999999	0.19	0.09999999999999999	0.32	3.0	0.0	99297.0	690	99.0	0.06	100000	1.0	0.0	0.0	9110.0	0.0	316.0
SL_WGS_HCC1395_03-2_1	41.0	136.0	1.23	7.430000000000001	132.0	0.0	0.13	0.0	98.77	0.13	0.09	0.25	17.0	0.0	98761.0	1230	90.0	0.04	100000	0.0	0.0	0.01	7426.0	0.0	250.0
run3-JTB_WGS_HCC1395BL_02-2_1	90.0	253.0	1.01	9.48	246.0	0.0	0.25	0.0	98.89999999999999	0.24	0.39999999999999997	0.43	256.0	0.0	98898.0	1010	408.0	0.09	100000	4.0	0.0	0.25	9486.0	0.0	434.0
run3-JTB_WGS_HCC1395BL_02-2_2	88.0	251.0	1.4	9.61	239.0	0.0	0.25	0.0	98.48	0.24	0.31	0.44	99.0	0.0	98486.0	1399	313.0	0.09	100000	4.0	0.0	0.1	9612.0	0.0	440.0
run5-JTB_WGS_HCC1395BL_02-2_1	85.0	255.0	1.02	9.57	284.0	0.0	0.25	0.0	98.84	0.28	0.45999999999999996	0.47	293.0	0.01	98840.0	1020	467.0	0.08	100000	5.0	0.0	0.29000000000000004	9573.0	0.0	475.0
run5-JTB_WGS_HCC1395BL_02-2_2	80.0	268.0	2.6	9.280000000000001	266.0	0.0	0.27	0.0	97.25	0.27	0.31	0.47000000000000003	96.0	0.01	97252.0	2600	319.0	0.08	100000	6.0	0.0	0.09	9274.0	0.0	470.0
