,type,JI,source
62,snps,0.577778,NVG_WGS_2023_1_TNseq_strelka.isecVSBGI_T10_WGS_2023_3_TNseq_strelka.isec
63,indels,0.693946,NVG_WGS_2023_1_TNseq_strelka.isecVSBGI_T10_WGS_2023_3_TNseq_strelka.isec
64,snps,0.180475,WGE_WGS_2023_1_TNseq_strelka.isecVSBGI_T10_WGS_2021_1_TNseq_strelka.isec.HCR
65,indels,0.214658,WGE_WGS_2023_1_TNseq_strelka.isecVSBGI_T10_WGS_2021_1_TNseq_strelka.isec.HCR
66,snps,0.10181,BGI_T20_WGS_2021_1_TNseq_strelka.isec.HCRVSWGS_WUX_2021_1_TNseq_strelka.isec
67,indels,0.17042,BGI_T20_WGS_2021_1_TNseq_strelka.isec.HCRVSWGS_WUX_2021_1_TNseq_strelka.isec
68,snps,0.12965,BGI_T20_WGS_2021_1_TNseq_strelka.isec.HCRVSBGI_T20_WGS_2023_2_TNseq_strelka.isec
69,indels,0.216655,BGI_T20_WGS_2021_1_TNseq_strelka.isec.HCRVSBGI_T20_WGS_2023_2_TNseq_strelka.isec
70,snps,0.115507,BGI_T20_WGS_2021_3_TNseq_strelka.isec.HCRVSBGI_T10_WGS_2021_1_TNseq_strelka.isec
71,indels,0.23676,BGI_T20_WGS_2021_3_TNseq_strelka.isec.HCRVSBGI_T10_WGS_2021_1_TNseq_strelka.isec
72,snps,0.302999,WGS_WUX_2023_3_TNseq_strelka.isecVSBGI_T20_WGS_2021_3_TNseq_strelka.isec
73,indels,0.456341,WGS_WUX_2023_3_TNseq_strelka.isecVSBGI_T20_WGS_2021_3_TNseq_strelka.isec
74,snps,0.43203,ARD_WGS_2023_1_TNseq_strelka.isec.HCRVSBGI_T10_WGS_2023_2_TNseq_strelka.isec.HCR
75,indels,0.693545,ARD_WGS_2023_1_TNseq_strelka.isec.HCRVSBGI_T10_WGS_2023_2_TNseq_strelka.isec.HCR
76,snps,0.583919,BGI_T10_WGS_2021_1_TNseq_strelka.isecVSBGI_T10_WGS_2023_3_TNseq_strelka.isec
77,indels,0.771995,BGI_T10_WGS_2021_1_TNseq_strelka.isecVSBGI_T10_WGS_2023_3_TNseq_strelka.isec
78,snps,0.598007,NVG_WGS_2023_1_TNseq_strelka.isecVSBGI_T10_WGS_2023_1_TNseq_strelka.isec
79,indels,0.687134,NVG_WGS_2023_1_TNseq_strelka.isecVSBGI_T10_WGS_2023_1_TNseq_strelka.isec
80,snps,0.101373,BGI_T20_WGS_2021_2_TNseq_strelka.isec.HCRVSBGI_T10_WGS_2021_1_TNseq_strelka.isec
81,indels,0.234133,BGI_T20_WGS_2021_2_TNseq_strelka.isec.HCRVSBGI_T10_WGS_2021_1_TNseq_strelka.isec
82,snps,0.178831,BGI_T10_WGS_2021_1_TNseq_strelka.isecVSWGS_WUX_2023_1_TNseq_strelka.isec.HCR
83,indels,0.138998,BGI_T10_WGS_2021_1_TNseq_strelka.isecVSWGS_WUX_2023_1_TNseq_strelka.isec.HCR
84,snps,0.183193,ARD_WGS_2023_1_TNseq_strelka.isec.HCRVSBGI_T10_WGS_2023_2_TNseq_strelka.isec
85,indels,0.25594,ARD_WGS_2023_1_TNseq_strelka.isec.HCRVSBGI_T10_WGS_2023_2_TNseq_strelka.isec
