type,total.truth,total.query,tp,fp,fn,recall,precision,source,F1 score
indels,5053,4234,3455,779,1598,0.6837522264,0.816013226264,WGS_WUX_2023_2.TNseq.Indel.F1,0.7440508237321792
records,5053,57176,3455,53721,1598,0.6837522264,0.0604274520778,WGS_WUX_2023_2.TNseq.Indel.F1,0.11104147583924551
SNVs,58418,48675,48602,73,9816,0.831969598411,0.998500256805,NVG_WGS_2023_1.TNseq.norm.SNV.F1,0.9076596976455632
records,58418,52271,48602,3669,9816,0.831969598411,0.929808115399,NVG_WGS_2023_1.TNseq.norm.SNV.F1,0.878172176096923
indels,5053,5371,4638,733,415,0.917870571937,0.863526345187,WGS_WUX_2023_3.strelka.Indel.F1,0.8898695318492987
records,5053,63970,4638,59332,415,0.917870571937,0.0725027356573,WGS_WUX_2023_3.strelka.Indel.F1,0.1343899859466408
SNVs,58418,48675,48602,73,9816,0.831969598411,0.998500256805,NVG_WGS_2023_1.TNseq.SNV.F1,0.9076596976455632
records,58418,52271,48602,3669,9816,0.831969598411,0.929808115399,NVG_WGS_2023_1.TNseq.SNV.F1,0.878172176096923
indels,5053,6575,4224,2351,829,0.835939046111,0.642433460076,WGS_WUX_2023_3.TNscope.Indel.F1,0.7265221878223846
records,5053,84321,4224,80097,829,0.835939046111,0.0500942825631,WGS_WUX_2023_3.TNscope.Indel.F1,0.09452413453583623
SNVs,58418,58152,57623,529,795,0.9863911808,0.990903150365,WGE_WGS_2023_1.strelka.SNV.F1,0.9886420176717832
records,58418,64289,57623,6666,795,0.9863911808,0.896311966277,WGE_WGS_2023_1.strelka.SNV.F1,0.9391966228492002
indels,5053,4416,3621,795,1432,0.716603997625,0.819972826087,WGS_WUX_2023_3.TNseq.norm.Indel.F1,0.7648114901255935
records,5053,57722,3621,54101,1432,0.716603997625,0.0627317140778,WGS_WUX_2023_3.TNseq.norm.Indel.F1,0.11536439665468101
indels,5053,4416,3621,795,1432,0.716603997625,0.819972826087,WGS_WUX_2023_3.TNseq.Indel.F1,0.7648114901255935
records,5053,57722,3621,54101,1432,0.716603997625,0.0627317140778,WGS_WUX_2023_3.TNseq.Indel.F1,0.11536439665468101
SNVs,58418,57677,55392,2285,3026,0.948200896984,0.960382821575,WGE_WGS_2023_1.TNscope.SNV.F1,0.9542529824711897
records,58418,65126,55392,9734,3026,0.948200896984,0.850535884286,WGE_WGS_2023_1.TNscope.SNV.F1,0.8967169591402356
SNVs,58418,52109,52058,51,6360,0.891129446404,0.999021282312,WGE_WGS_2023_1.TNseq.norm.SNV.F1,0.9419960733578833
records,58418,57452,52058,5394,6360,0.891129446404,0.906112929054,WGE_WGS_2023_1.TNseq.norm.SNV.F1,0.8985587296111109
